0,0,4.761,-0.672,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.761,-0.672,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.761,0.328,2,2.128,2.611,5,3.351,3.351,3.811,5,1.117,1.05,0,0
0,0,4.761,0.328,2,2.128,2.611,5,3.351,3.351,3.811,5,1.117,1.05,0.326,0.054
0.326,0.054,4.761,0.328,2,2.13,2.617,5,3.333,3.336,3.798,5,1.116,1.05,0.326,0.054
0.326,0.054,4.744,0.328,2.05,2.188,2.694,5,3.297,3.306,3.772,5,1.114,1.05,0.334,0.107
0.334,0.107,4.727,0.328,2.05,2.195,2.713,5,3.259,3.277,3.751,5,1.111,1.05,0.334,0.107
0.334,0.107,4.71,0.327,2.051,2.204,2.739,5,3.22,3.25,3.736,5,1.107,1.05,0.334,0.107
0.334,0.107,4.71,0.327,2.052,2.216,2.772,5,3.18,3.225,3.728,5,1.102,1.051,0.335,0.161
0.335,0.161,4.675,0.322,2.052,2.223,2.728,5,3.16,3.214,5,5,1.099,1.051,0.359,0.215
0.359,0.215,4.658,0.319,2.056,2.249,2.803,5,3.098,3.182,5,5,1.091,1.053,0.359,0.215
0.359,0.215,4.638,0.314,2.06,2.272,2.821,5,3.057,3.163,5,5,1.084,1.055,0.406,0.268
0.406,0.268,4.618,0.309,2.065,2.299,2.922,5,3.014,3.145,5,5,1.078,1.058,0.406,0.268
0.406,0.268,4.595,0.303,2.073,2.332,5,5,2.97,3.13,5,5,1.072,1.062,0.501,0.322
0.501,0.322,4.572,0.297,2.083,2.371,5,5,2.924,3.115,5,5,1.066,1.067,0.501,0.322
0.501,0.322,4.542,0.289,2.096,2.417,5,5,2.877,3.101,5,5,1.06,1.073,0.501,0.338
0.501,0.338,4.511,0.282,2.112,2.469,5,5,2.833,3.091,5,5,1.056,1.082,0.501,0.338
0.501,0.338,4.511,0.282,2.183,2.537,5,2.865,2.792,3.086,5,5,1.003,1.039,0.502,0.322
0.502,0.322,4.446,0.266,2.205,2.618,5,2.793,2.754,3.083,5,5,1.001,1.05,0.502,0.322
0.502,0.322,4.412,0.258,2.229,2.707,5,2.727,2.72,3.083,5,5,1,1.061,0.5,0.313
0.5,0.313,4.378,0.251,2.242,2.755,5,2.695,2.703,3.084,5,5,1,1.067,0.5,0.313
0.5,0.313,4.342,0.243,2.339,5,5,2.607,2.658,3.092,5,5,0.951,1.033,0.501,0.291
0.501,0.291,4.306,0.236,2.37,5,5,2.553,2.631,3.1,5,5,0.953,1.047,0.501,0.291
0.501,0.291,4.269,0.229,2.419,5,5,2.502,2.605,3.109,5,5,0.906,1.006,0.48,0.287
0.48,0.287,4.231,0.222,2.481,5,5,2.455,2.583,5,5,5,0.909,1.021,0.48,0.287
0.48,0.287,4.194,0.215,2.547,5,5,2.411,2.564,5,5,5,0.863,0.98,0.457,0.284
0.457,0.284,4.157,0.209,2.619,5,2.5,2.372,2.548,5,5,5,0.918,0.997,0.457,0.284
0.457,0.284,4.12,0.202,2.695,5,2.437,2.336,2.536,5,5,5,1.027,0.955,0.455,0.256
0.455,0.256,4.083,0.195,5,5,2.379,2.302,2.525,5,5,5,1.085,0.973,0.455,0.256
0.455,0.256,4.046,0.189,5,5,2.325,2.27,2.514,5,5,5,1.041,0.929,0.478,0.234
0.478,0.234,4.008,0.182,5,5,2.273,2.239,2.503,5,5,5,1.101,0.946,0.478,0.234
0.478,0.234,3.968,0.177,5,5,2.223,2.208,2.492,5,5,5,1.163,0.899,0.457,0.224
0.457,0.224,3.927,0.172,5,5,2.2,2.193,2.487,5,5,5,1.114,0.908,0.457,0.224
0.457,0.224,3.888,0.166,5,5,2.134,2.154,2.475,5,5,5,1.182,0.868,0.454,0.215
0.454,0.215,3.848,0.161,5,2.336,2.094,2.129,2.469,5,5,5,1.247,0.817,0.454,0.215
0.454,0.215,3.809,0.156,5,2.274,2.055,2.106,2.464,5,5,4.876,1.313,0.834,0.43,0.231
0.43,0.231,3.769,0.151,5,2.216,2.019,2.085,2.463,5,5,4.854,1.271,0.775,0.43,0.231
0.43,0.231,3.73,0.145,5,2.16,1.985,2.068,5,5,5,4.834,1.286,0.826,0.431,0.202
0.431,0.202,3.692,0.14,5,2.109,1.954,2.051,5,5,4.881,4.816,1.244,0.81,0.431,0.202
0.431,0.202,3.653,0.135,5,2.061,1.95,2.062,5,5,4.828,4.798,1.314,0.862,0.455,0.174
0.455,0.174,3.613,0.13,5,2.038,1.95,2.069,5,5,4.803,4.789,1.264,0.854,0.455,0.174
0.455,0.174,3.571,0.126,5,2.009,1.9,2.036,5,5,4.728,4.758,1.342,0.9,0.431,0.183
0.431,0.183,3.53,0.122,5,1.945,1.851,1.996,5,5,4.681,4.741,1.357,0.951,0.431,0.183
0.431,0.183,3.49,0.118,2.265,1.933,1.853,2.011,5,5,4.635,4.725,1.313,0.938,0.429,0.186
0.429,0.186,3.449,0.113,2.203,1.871,1.805,1.973,5,5,4.591,4.711,1.39,0.987,0.429,0.186
0.429,0.186,3.409,0.109,2.144,1.862,1.808,1.99,5,5,4.548,4.697,1.347,0.974,0.407,0.164
0.407,0.164,3.369,0.104,2.09,1.802,1.76,1.937,5,5,4.508,4.685,1.364,1.022,0.407,0.164
0.407,0.164,3.33,0.1,2.041,1.795,1.764,1.928,5,4.843,4.47,4.672,1.381,1.012,0.43,0.136
0.43,0.136,3.291,0.096,2.041,1.795,1.764,1.928,5,4.843,4.47,4.672,1.381,1.012,0.43,0.136
0.43,0.136,3.25,0.093,1.952,1.733,1.72,1.906,5,4.711,4.393,4.64,1.412,1.052,0.406,0.126
0.406,0.126,3.209,0.09,1.914,1.678,1.673,1.895,5,4.649,4.357,4.623,5,1.102,0.406,0.126
0.406,0.126,3.17,0.087,1.9,1.674,1.677,1.885,5,4.59,4.321,4.607,5,1.094,0.431,0.111
0.431,0.111,3.131,0.084,1.887,1.671,1.681,5,5,4.533,4.286,4.589,5,1.087,0.431,0.111
0.431,0.111,3.089,0.082,1.819,1.617,1.633,5,5,4.476,4.249,4.568,5,1.137,0.43,0.12
0.43,0.12,3.048,0.079,1.808,1.615,1.637,5,5,4.42,4.213,4.548,5,1.13,0.43,0.12
0.43,0.12,3.006,0.077,1.74,1.562,1.59,5,5,4.363,4.177,4.53,5,1.179,0.407,0.104
0.407,0.104,2.964,0.074,1.731,1.56,1.595,5,5,4.309,4.142,4.511,5,1.172,0.407,0.104
0.407,0.104,2.924,0.071,1.722,1.558,1.599,5,5,4.259,4.108,4.492,5,1.166,0.406,0.126
0.406,0.126,2.885,0.069,1.657,1.506,1.552,5,5,4.207,4.075,4.475,5,1.215,0.406,0.126
0.406,0.126,2.845,0.066,1.647,1.504,1.531,5,4.879,4.155,4.043,4.461,5,1.208,0.429,0.098
0.429,0.098,2.805,0.063,1.639,1.503,1.518,5,4.796,4.104,4.009,4.443,5,1.202,0.429,0.098
0.429,0.098,2.763,0.061,1.578,1.452,1.514,5,4.718,4.054,3.974,4.42,5,1.251,0.406,0.107
0.406,0.107,2.721,0.059,1.571,1.452,1.519,5,4.641,4.005,3.941,4.4,5,1.246,0.406,0.107
0.406,0.107,2.681,0.056,1.564,1.451,1.524,5,4.565,3.957,3.908,4.383,5,1.241,0.431,0.079
0.431,0.079,2.641,0.054,1.505,1.4,1.476,5,4.493,3.91,3.874,4.361,5,1.29,0.431,0.079
0.431,0.079,2.599,0.052,1.5,1.4,4.705,5,4.425,3.863,3.838,4.334,5,1.286,0.406,0.095
0.406,0.095,2.556,0.05,1.495,1.4,4.72,5,4.357,3.817,3.804,4.31,5,1.281,0.406,0.095
0.406,0.095,2.516,0.048,1.437,1.35,4.682,5,4.289,3.772,3.772,4.289,5,1.33,0.407,0.079
0.407,0.079,2.476,0.046,1.434,1.35,4.691,5,4.255,3.749,3.756,4.279,5,5,0.407,0.079
0.407,0.079,2.436,0.044,1.43,1.35,4.704,5,4.192,3.705,3.722,4.254,5,5,0.418,0.063
0.418,0.063,2.395,0.042,1.425,1.35,4.725,5,4.1,3.64,3.671,4.214,5,5,0.418,0.063
0.418,0.063,2.354,0.041,1.369,1.301,4.683,5,4.041,3.597,3.635,4.184,5,5,0.404,0.066
0.404,0.066,2.312,0.04,1.366,1.301,4.695,5,3.983,3.554,3.6,4.155,5,5,0.404,0.066
